group_label	group_lat	group_lon	item_label	item_link	marker_type	marker_icon
University of Zurich	47.3983206928008	8.54841196493381	Michael Baudis	https://baudisgroup.org/group/Michael-Baudis/	marker	http://info.baudisgroup.org/img/site_logo.png
University of Zurich	22.28	113.57	Jiahui Yu	https://baudisgroup.org/group/Jiahui-Yu/	marker	
University of Zurich	26.4345	111.608	Ziying Yang	https://baudisgroup.org/group/Ziying-Yang/	marker	
University of Zurich	29.0316	111.6985	Hangjia Zhao	https://baudisgroup.org/group/Hangjia-Zhao/	marker	
University of Zurich	58.5953	25.0136	Rahel Paloots	https://baudisgroup.org/group/Rahel-Paloots/	marker	
University of Zurich	46.9480	7.4474	Kay von Grünigen	https://baudisgroup.org/group/Kay-vonGruenigen/	marker	
University of Zurich	47.5642	8.0590	Kürsat Birgin	https://baudisgroup.org/group/Kürsat-Birgin/	marker	
University of Zurich	43.88	125.32	Bo Gao	https://baudisgroup.org/group/Bo-Gao/	marker	
University of Zurich	43.36	-5.84	Paula Carrio-Cordo	https://baudisgroup.org/group/Paula-Carrio-Cordo/	marker	
University of Zurich	30.67	104.07	Haoyang Cai	https://baudisgroup.org/group/Haoyang-Cai/	marker	
University of Zurich	28.65	77.23	Nitin Kumar	https://www.linkedin.com/in/drnitinkumar/	marker	
University of Zurich	28.65	77.23	Prisni Rath	https://www.linkedin.com/in/prisni-r/	marker	
