# Please keep the header labels as they are.					
# At minimum group_lat and group_lon are required for placing a marker.					
group_label	group_lat	group_lon	item_label	item_link	marker_type
Universität Zurich - UZH	47.3983206928008	8.54841196493381	Michael Baudis	https://info.baudisgroup.org/group/	marker
Zürcher Hochschule für Angewandte Wissenschaft - ZHAW	47.2194999839651	8.68770291081617	Dominik Brühwiler	https://www.zhaw.ch/en/about-us/person/breh/	marker
University of Zurich - UZH	47.3747784762517	8.54865216849628	Noah Bubenhofer	https://www.bubenhofer.com/	marker
University of Applied Sciences and Arts Western Switzerland - HES-SO	46.2831191936229	7.5390072684463	Jean-Paul Calbimonte	https://jeanpi.org/wp/	marker
Università della Svizzera italiana - USI	45.8672867274333	8.98456115493688	Elena Chestnova	http://usi.to/ro6	marker
Universität Zurich - UZH	47.4133489174889	8.5488658550074	Silke Fürst	https://ikmz.uzh.ch/en/research/divisions/science-crisis-and-risk-communication/team/silke-fuerst.html	marker
Universität Bern - UniBe	46.9547031294181	7.42960966847689	Tobias Hodel	https://www.dh.unibe.ch/ueber_uns/personen/prof_dr_hodel_tobias/index_ger.html	marker
University of Teacher Education in Special Needs - HfH	47.4034321458471	8.54714214002498	Peter Klaver	https://www.hfh.ch/person/peter-klaver	marker
Paul Scherrer Institut - PSI	47.5386065447173	8.22973005501324	Clemens Lange	https://www.psi.ch/en/people/clemens-gregor-lange	marker
Eidgenössische Technische Hochschule Zürich - ETHZ	47.380264297259	8.54664736849649	Adriana Marcucci	https://esc.ethz.ch/people/person-detail.marcucci.html	marker
Universität Basel - UniBas	47.5603042307423	7.58106836850483	Andrea Martani	https://ibmb.unibas.ch/en/persons/andrea-martani/cv-of-andrea-martani/	marker
University of St. Gallen - Uni SG	47.4278921945592	9.3772650261716	Katerina Mitrokotsa	https://www.unisg.ch/en/university/about-us/organisation/detail/person-id/582e97d1-6ff2-46e5-b269-769c4a4a2b78/	marker
University of Applied Sciences and Arts of Southern Switzerland - SUPSI	45.8697646567708	8.97813851075471	Iolanda Pensa	https://www.supsi.ch/en/iolanda-pensa	marker
Université de Lausanne - UNIL	46.5250888516785	6.64097816672105	Valérie Pittet	https://www.unisante.ch/fr/formation-recherche/annuaire-chercheurs/chercheur/pittet-valerie	marker
Université de Neuchâtel - UniNe	47.0000623950837	6.94934686847898	Dominique Roche	https://www.unine.ch/ethol/en/home/former-collaborators/dominique-roche.html	marker
University of Geneva - UniGe	46.1995924902117	6.14513715495187	Evie Vergauwe	https://neurocenter-unige.ch/research-groups/evie-vergauwe/	marker
Swiss Academies of Ars and Sciences	46.9472045095595	7.43659808220341	Olivia Denk	https://ord.akademien-schweiz.ch/en/sounding-board-researchers/	marker
Swiss Academies of Ars and Sciences	46.9472045095595	7.43659808220341	Beat Immenhauser	https://ord.akademien-schweiz.ch/en/sounding-board-researchers/	marker
Swiss Academies of Ars and Sciences	46.9472045095595	7.43659808220341	Kai Pitre Salgado	https://ord.akademien-schweiz.ch/en/sounding-board-researchers/	marker

