group_label	group_lat	group_lon	item_label	item_link	marker_type	marker_icon
University of Zurich	47.39832069	8.548411965	Michael Baudis	https://baudisgroup.org/group/Michael-Baudis/	marker	http://info.baudisgroup.org/img/site_logo.png
Zhuhai	22.28	113.57	Jiahui Yu	https://baudisgroup.org/group/Jiahui-Yu/	marker	
Yongzhou	26.42	111.61	Ziying Yang	https://baudisgroup.org/group/Ziying-Yang/	marker	
Changde	29.05	111.68	Hangjia Zhao	https://baudisgroup.org/group/Hangjia-Zhao/	marker	
Tahkuranna	58.24576	24.4856	Rahel Paloots	https://baudisgroup.org/group/Rahel-Paloots/	marker	
Jiangsu	33.38153	119.52303	Qingyao Huang	https://www.mls.uzh.ch/en/research/von-mering/groupmembers.html	marker	
Bern	46.948	7.4474	Kay von Grünigen	https://baudisgroup.org/group/Kay-vonGruenigen/	marker	
Changchun	43.88	125.32	Bo Gao	https://baudisgroup.org/group/Bo-Gao/	marker	
Oviedo	43.36	-5.84	Paula Carrio-Cordo	https://baudisgroup.org/group/Paula-Carrio-Cordo/	marker	
Chengdu	30.67	104.07	Haoyang Cai	https://baudisgroup.org/group/Haoyang-Cai/	marker	
Delhi	28.65	77.23	Nitin Kumar	https://www.linkedin.com/in/drnitinkumar/	marker	
Delhi	28.65	77.23	Prisni Rath	https://www.linkedin.com/in/prisni-r/	marker	
Zürich	47.37176	8.54261	Linda Grob	https://www.linkedin.com/in/linda-grob/	marker	
Hoofdorp	52.30543	4.69266	Max Verbiest	https://www.linkedin.com/in/max-verbiest-3413171a3/	marker	
Huanggang	30.45372	114.87242	Fei Fei Xia	https://baudisgroup.org/group/FeiFei-Xia/	marker	
Verona	45.4384	10.9916	Alessio Milanese	https://orcid.org/0000-0002-7050-2239	marker	
Rohtak	28.8974	76.58136	Saumya Gupta	https://baudisgroup.org/group/Saumya-Gupta/	marker	
Taipei	25.03	121.56	Yu-yu Liu	https://www.linkedin.com/in/yu-yu-liu-661794a8/	marker	
Uster	47.34964	8.71937	André von Büren	https://www.unige.ch/medecine/petri/groupes-de-recherche/907ansari/membres-du-groupe/andre-von-buren	marker	
Gainesville	29.6516	-82.3248	Alejandra Ellison-Barnes	https://profiles.hopkinsmedicine.org/provider/alejandra-ellison-barnes/2703577	marker	

Nonthaburi	13.8591	100.5217	Worawich Phornsiricharoenphant	https://www.linkedin.com/in/worawich-phornsiricharoenphant-6a3938104/	marker	
